city,latitude,longitude,elevation,longitude_numeric,latitude_numeric,elevation_numeric
Lisbon,38°44'N,9°09'W,89 m,-9.15,38.733,89.0
Taipei,25°04'N,121°31'E,12 m,121.517,25.067,12.0
Calgary,51°03'N,114°04'W,1063 m,-114.067,51.05,1063.0
Tallinn,59°26'N,24°45'E,28 m,24.75,59.433,28.0
Canberra,35°17'S,149°08'E,577 m,149.133,-35.283,577.0
Los Angeles,34°03'N,118°15'W,92 m,-118.25,34.05,92.0
Tashkent,41°19'N,69°17'E,453 m,69.283,41.317,453.0
Cape Town,33°55'S,18°25'E,31 m,18.417,-33.917,31.0
Madrid,40°25'N,3°42'W,658 m,-3.7,40.417,658.0
Tegucigalpa,14°06'N,87°12'W,1054 m,-87.2,14.1,1054.0
Caracas,10°30'N,66°54'W,875 m,-66.9,10.5,875.0
Managua,12°09'N,86°16'W,64 m,-86.267,12.15,64.0
Tehran,35°42'N,51°25'E,1179 m,51.417,35.7,1179.0
Casablanca,33°36'N,7°37'W,25 m,-7.617,33.6,25.0
Manila,14°35'N,120°59'E,1 m,120.983,14.583,1.0
Chicago,41°53'N,87°38'W,181 m,-87.633,41.883,181.0
Melbourne,37°49'S,144°58'E,27 m,144.967,-37.817,27.0
Toronto,43°39'N,79°23'W,84 m,-79.383,43.65,84.0
Copenhagen,55°41'N,12°34'E,6 m,12.567,55.683,6.0
Mexico City,19°25'N,99°08'W,2241 m,-99.133,19.417,2241.0
Vancouver,49°17'N,123°07'W,33 m,-123.117,49.283,33.0
Dallas,32°47'N,96°48'W,131 m,-96.8,32.783,131.0
Miami,25°46'N,80°12'W,2 m,-80.2,25.767,2.0
Vienna,48°13'N,16°22'E,190 m,16.367,48.217,190.0
Darwin,12°28'S,130°51'E,36 m,130.85,-12.467,36.0
Minneapolis,44°59'N,93°16'W,257 m,-93.267,44.983,257.0
Warsaw,52°14'N,21°00'E,138 m,21.0,52.233,138.0
Denver,39°45'N,104°59'W,1593 m,-104.983,39.75,1593.0
Minsk,53°54'N,27°33'E,220 m,27.55,53.9,220.0
Washington DC,38°54'N,77°02'W,17 m,-77.033,38.9,17.0
